n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy
4,3,10,0.15,0.01,10,0.7532467532467533
2,5,10,0.1,0.01,10,0.7792207792207793
2,10,10,0.1,0.1,10,0.7597402597402597
3,7,20,0.05,0.001,10,0.7467532467532467
5,3,20,0.2,0.001,10,0.7435064935064934
4,10,10,0.05,0.01,10,0.737012987012987
4,7,15,0.2,0.001,10,0.7175324675324675
3,10,10,0.1,0.1,10,0.75
2,10,15,0.15,0.01,10,0.7337662337662338
4,5,5,0.1,0.001,10,0.7402597402597402
3,7,15,0.05,0.001,10,0.7662337662337662
2,5,10,0.05,0.1,10,0.7597402597402597
3,10,10,0.1,0.001,10,0.75
5,3,5,0.05,0.001,10,0.7727272727272727
4,10,15,0.05,0.01,10,0.7467532467532467
2,7,15,0.2,0.01,10,0.7402597402597402
5,7,5,0.1,0.001,10,0.7597402597402597
2,5,20,0.05,0.1,10,0.7305194805194806
2,5,10,0.1,0.001,10,0.737012987012987
5,10,10,0.1,0.001,10,0.7727272727272727
4,10,5,0.1,0.01,10,0.7564935064935066
2,7,10,0.1,0.01,10,0.7662337662337663
2,10,10,0.2,0.1,10,0.75
3,5,15,0.1,0.001,10,0.7532467532467533
5,3,5,0.2,0.1,10,0.7337662337662337
3,3,20,0.2,0.1,10,0.7467532467532467
5,10,20,0.1,0.1,10,0.7662337662337662
5,3,5,0.05,0.1,10,0.7402597402597402
4,3,20,0.15,0.001,10,0.7305194805194806
2,10,10,0.15,0.001,10,0.737012987012987
2,10,15,0.1,0.01,10,0.7467532467532467
2,7,10,0.15,0.1,10,0.75
2,5,20,0.05,0.01,10,0.7532467532467533
3,5,10,0.1,0.1,10,0.7532467532467533
2,7,20,0.1,0.001,10,0.7305194805194806
3,3,15,0.05,0.001,10,0.737012987012987
2,3,5,0.2,0.01,10,0.7435064935064934
2,3,20,0.2,0.1,10,0.7272727272727273
2,7,20,0.2,0.01,10,0.7597402597402597
2,7,20,0.2,0.1,10,0.7305194805194806
