fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
2,13,Hybrid ACOR-LM,0.7739130434782608,0.7659574468085106,0.8503937007874016,0.8059701492537313,6,0.29029489242660095,True,2.4253274422082765
2,14,Hybrid ACOR-LM,0.7869565217391304,0.8095238095238095,0.8031496062992126,0.8063241106719368,0,0.24376294050620975,True,2.4253274422082765
2,15,Hybrid ACOR-LM,0.7739130434782608,0.7906976744186046,0.8031496062992126,0.796875,0,0.27310044996336524,True,2.4253274422082765
2,16,Hybrid ACOR-LM,0.7652173913043478,0.7664233576642335,0.8267716535433071,0.7954545454545454,0,0.27997854226588714,True,2.4253274422082765
2,17,Hybrid ACOR-LM,0.7869565217391304,0.8,0.8188976377952756,0.8093385214007782,6,0.2803270890244101,True,2.4253274422082765
2,18,Hybrid ACOR-LM,0.8347826086956521,0.8345864661654135,0.8740157480314961,0.8538461538461538,0,0.26609037593746165,True,2.4253274422082765
2,19,Hybrid ACOR-LM,0.7913043478260869,0.8062015503875969,0.8188976377952756,0.8125,0,0.27857929142686294,True,2.4253274422082765
2,20,Hybrid ACOR-LM,0.808695652173913,0.8217054263565892,0.8346456692913385,0.828125,6,0.27827916912878853,True,2.4253274422082765
2,21,Hybrid ACOR-LM,0.8,0.7956204379562044,0.8582677165354331,0.8257575757575758,0,0.25391747196808756,True,2.4253274422082765
2,22,Hybrid ACOR-LM,0.7869565217391304,0.782608695652174,0.8503937007874016,0.8150943396226416,0,0.27146659755580166,True,2.4253274422082765
2,23,Hybrid ACOR-LM,0.7869565217391304,0.7910447761194029,0.8346456692913385,0.8122605363984674,0,0.27082168478095825,True,2.4253274422082765
2,24,Hybrid ACOR-LM,0.7521739130434782,0.782258064516129,0.7637795275590551,0.7729083665338645,0,0.24117242734323086,True,2.4253274422082765
2,25,Hybrid ACOR-LM,0.7608695652173914,0.78125,0.7874015748031497,0.7843137254901961,0,0.28991583301869017,True,2.4253274422082765
2,26,Hybrid ACOR-LM,0.7782608695652173,0.7835820895522388,0.8267716535433071,0.8045977011494253,0,0.2616942281856174,True,2.4253274422082765
2,27,Hybrid ACOR-LM,0.7391304347826086,0.7596899224806202,0.7716535433070866,0.765625,0,0.2655016594569275,True,2.4253274422082765
2,28,Hybrid ACOR-LM,0.7782608695652173,0.7794117647058824,0.8346456692913385,0.8060836501901141,0,0.25933717286225233,True,2.4253274422082765
2,29,Hybrid ACOR-LM,0.7565217391304347,0.7795275590551181,0.7795275590551181,0.7795275590551181,0,0.2633484558170679,True,2.4253274422082765
